,0
2017-10-15,14.066839392321135
2017-10-16,13.273250986367561
2017-10-17,12.93236900223359
2017-10-18,11.099184323946638
2017-10-19,10.95930438128475
2017-10-20,9.71156031348654
2017-10-21,7.30181385134133
2017-10-22,5.8334473361142125
2017-10-23,5.616107070130152
2017-10-24,5.1374194019997255
2017-10-25,3.1842147716201255
2017-10-26,3.002596595291545
2017-10-27,2.1199907592156335
2017-10-28,1.75634036046083
2017-10-29,1.3059922403485669
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,0.0
2017-11-03,0.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,0.3561382313758464
2018-02-21,0.2924368732170068
2018-02-22,0.0
2018-02-23,0.629782447050613
2018-02-24,0.865752895476694
2018-02-25,0.31164060322272985
2018-02-26,0.0
2018-02-27,1.6035015187323585
2018-02-28,2.4624180028948013
2018-03-01,3.451257682874065
2018-03-02,4.99522750181907
2018-03-03,5.019343382540651
2018-03-04,4.602465879851771
2018-03-05,4.4647562064158155
2018-03-06,4.082209909619305
2018-03-07,4.519709331860673
2018-03-08,4.363673980270117
2018-03-09,5.1433711207054085
2018-03-10,5.409480035335853
2018-03-11,6.082127578373977
2018-03-12,7.489985096204433
2018-03-13,9.654538892615088
2018-03-14,11.978731467294233
2018-03-15,12.866652632659154
2018-03-16,13.856531402443595
2018-03-17,14.129932995240527
2018-03-18,15.921732730034032
2018-03-19,18.243138649659603
2018-03-20,18.442709491354993
2018-03-21,20.003304615946952
2018-03-22,20.473302598781206
2018-03-23,21.104584529722064
2018-03-24,22.093855124499893
2018-03-25,22.500008799576594
2018-03-26,24.204543378189392
2018-03-27,23.519975358211774
2018-03-28,23.637470825199674
2018-03-29,24.332313204769285
2018-03-30,24.102857780124168
2018-03-31,25.2797311857775
2018-04-01,24.58168188002401
2018-04-02,25.454086261747086
2018-04-03,24.831172150655163
2018-04-04,25.50315223439013
2018-04-05,26.828080546771986
2018-04-06,29.847880015692123
2018-04-07,31.740882662882125
2018-04-08,34.17237774104558
2018-04-09,35.053242366696935
2018-04-10,37.980262617940284
2018-04-11,38.548434220709176
2018-04-12,39.10356729048612
2018-04-13,38.62647039330317
2018-04-14,39.65111916888304
2018-04-15,41.50428420698332
2018-04-16,41.66691564466887
2018-04-17,42.08948623098
2018-04-18,42.415556457351165
2018-04-19,42.86992179386248
2018-04-20,43.061320386870854
2018-04-21,42.4887893124567
2018-04-22,44.64275660400786
2018-04-23,43.4392583722524
2018-04-24,43.27545327423637
2018-04-25,44.37726210894802
2018-04-26,46.14145109441899
2018-04-27,46.679808558059825
2018-04-28,47.13762442337021
2018-04-29,47.922041584281516
2018-04-30,48.38932500841131
2018-05-01,49.98809606236955
2018-05-02,50.22045924552656
2018-05-03,49.94327814329097
2018-05-04,50.171632432569815
2018-05-05,50.96148361157261
2018-05-06,52.87663494707371
2018-05-07,55.15459593508248
2018-05-08,55.42520380904194
2018-05-09,54.62277659279691
2018-05-10,53.8921988077605
2018-05-11,56.66214205501711
2018-05-12,56.89502897248529
2018-05-13,57.979633108477735
2018-05-14,60.5143653881261
2018-05-15,60.44225709421741
2018-05-16,60.846065362054034
2018-05-17,60.854043397152516
2018-05-18,60.33671106811754
2018-05-19,61.70488321270528
2018-05-20,63.328657985750404
2018-05-21,62.00248145756037
2018-05-22,63.521072543330156
2018-05-23,63.81113912000681
2018-05-24,64.50979035448347
2018-05-25,65.21151669130143
2018-05-26,64.39751226202898
2018-05-27,64.56770032230007
2018-05-28,64.04622201706651
2018-05-29,66.41913907769714
2018-05-30,69.05074138971177
2018-05-31,69.56847922836401
2018-06-01,68.81104310107966
2018-06-02,70.37630325770566
2018-06-03,70.58306210041172
2018-06-04,72.71269991743046
2018-06-05,75.05292500375542
2018-06-06,77.0845330097553
2018-06-07,77.03505828205404
2018-06-08,76.36974243611611
2018-06-09,76.02632050067237
2018-06-10,76.23637124758787
2018-06-11,75.60563048959861
2018-06-12,77.07864277928358
2018-06-13,78.00223848388399
2018-06-14,78.22080705742846
2018-06-15,78.0592687980065
2018-06-16,78.933681457539
2018-06-17,80.52336928527367
2018-06-18,78.79094302184716
2018-06-19,79.20822131386363
2018-06-20,79.07713525553518
2018-06-21,78.48820241058958
2018-06-22,78.28810808961101
2018-06-23,78.54960308195561
2018-06-24,80.53191821949679
2018-06-25,80.68745649993289
2018-06-26,80.34186631602778
2018-06-27,79.18451636264508
2018-06-28,80.01399183443927
2018-06-29,79.30320993622777
2018-06-30,79.21614723021156
2018-07-01,79.9414950328486
2018-07-02,79.99169463018067
2018-07-03,79.58885659318592
2018-07-04,79.38508681565426
2018-07-05,80.23794752803434
2018-07-06,80.15839099272915
2018-07-07,80.32672250348308
2018-07-08,80.66082279652073
2018-07-09,80.22314791348418
2018-07-10,80.43358751465392
2018-07-11,80.02494246587565
2018-07-12,81.01264534954782
2018-07-13,81.35404666016294
2018-07-14,79.44907152381043
2018-07-15,79.0528965803268
2018-07-16,79.95911496370846
2018-07-17,79.52921047161834
2018-07-18,78.87562900316885
2018-07-19,79.62428435377377
2018-07-20,78.28273054890293
2018-07-21,78.07500790282114
2018-07-22,78.37865698123294
2018-07-23,78.9303913768415
2018-07-24,77.58325028409676
2018-07-25,76.00973503392238
2018-07-26,77.1635660663223
2018-07-27,76.03108886259814
2018-07-28,75.57391697145458
2018-07-29,77.62472261671117
2018-07-30,76.76602973807613
2018-07-31,74.15760415110188
2018-08-01,76.52524260620926
2018-08-02,77.10596918435456
2018-08-03,77.02033987606087
2018-08-04,79.34061099333418
2018-08-05,78.79616586837939
2018-08-06,79.76073479660859
2018-08-07,79.27978111541726
2018-08-08,78.498811501781
2018-08-09,78.61423152976506
2018-08-10,78.96990084060758
2018-08-11,79.7120744238361
2018-08-12,80.35507379422953
2018-08-13,79.29366858776348
2018-08-14,78.63923570299397
2018-08-15,79.99256709230704
2018-08-16,80.00618279907026
2018-08-17,79.49798717480066
2018-08-18,80.22934005697104
2018-08-19,81.00325753980752
2018-08-20,81.65700339637011
2018-08-21,80.46477647692042
2018-08-22,79.42432220703627
2018-08-23,79.51134944274165
2018-08-24,80.02935683662201
2018-08-25,78.15087835113988
2018-08-26,77.00357399897153
2018-08-27,76.07293605950312
2018-08-28,76.37076705529594
2018-08-29,74.57008247345568
2018-08-30,76.54930262389534
2018-08-31,75.90575892167323
2018-09-01,75.78459916277039
2018-09-02,77.26578720941309
2018-09-03,77.13906208007673
2018-09-04,77.13130186333692
2018-09-05,76.18969573516107
2018-09-06,75.88873773379355
2018-09-07,74.05665024908834
2018-09-08,73.19838182062891
2018-09-09,72.44788424259329
2018-09-10,70.66462604117238
2018-09-11,70.87244871638788
2018-09-12,70.52109337683473
2018-09-13,67.85224393735423
2018-09-14,67.8286078515132
2018-09-15,66.08569808128502
2018-09-16,65.84634483471251
2018-09-17,64.21945473857065
2018-09-18,63.03220287634804
2018-09-19,62.618842371830915
2018-09-20,63.722646165088356
2018-09-21,61.373153896794435
2018-09-22,60.1860015153777
2018-09-23,59.00124445545572
2018-09-24,59.24871672393476
2018-09-25,58.15590118489068
2018-09-26,57.72283971259102
2018-09-27,58.20404705392091
2018-09-28,58.1176007459165
2018-09-29,56.84789111077113
2018-09-30,55.56093906654478
2018-10-01,54.43988580044254
2018-10-02,53.74035903910683
2018-10-03,52.02853923228656
2018-10-04,51.119706657421474
2018-10-05,50.84202381192777
2018-10-06,49.5208100055883
2018-10-07,48.19054804890317
2018-10-08,47.62399688981866
2018-10-09,47.57254764826931
2018-10-10,45.383980196298374
2018-10-11,43.55113867875566
2018-10-12,43.988664740166485
2018-10-13,43.12091613982284
2018-10-14,41.17868698158497
2018-10-15,40.458610523027296
2018-10-16,41.20374619563617
2018-10-17,39.752341904889704
2018-10-18,37.96140870435071
2018-10-19,36.884065472336566
2018-10-20,37.65171689582347
2018-10-21,36.174707441782914
2018-10-22,35.88770050799043
2018-10-23,36.079773712902224
2018-10-24,35.891057851516884
2018-10-25,34.74590041831069
2018-10-26,34.59773812766469
2018-10-27,33.9719720400532
2018-10-28,33.995467333512394
2018-10-29,33.60542667948774
2018-10-30,32.97301372398004
2018-10-31,30.473101792577687
2018-11-01,30.355614977034925
2018-11-02,29.486214827977758
2018-11-03,26.666120355134765
2018-11-04,25.88235395893886
2018-11-05,25.44506029616006
2018-11-06,24.601267450140174
2018-11-07,21.44687538823417
2018-11-08,20.01437683170971
2018-11-09,18.351813662585798
2018-11-10,17.343232038604956
2018-11-11,14.366901536010905
2018-11-12,13.97474952035695
2018-11-13,13.843208620803313
2018-11-14,13.762152468692424
2018-11-15,13.063127333376787
2018-11-16,12.329103812363918
2018-11-17,12.709009325660576
2018-11-18,12.54725477806543
2018-11-19,11.527045199983784
2018-11-20,11.232422426889842
2018-11-21,11.342973805600181
2018-11-22,11.96978808511248
2018-11-23,11.878763161040531
2018-11-24,10.550831734948009
2018-11-25,9.528193360541232
2018-11-26,9.224861886897687
2018-11-27,9.019463701850182
2018-11-28,9.535175226600531
2018-11-29,7.177929387139209
2018-11-30,5.992861737716313
2018-12-01,4.3886409528598245
2018-12-02,5.01514125863758
2018-12-03,5.344710378391977
2018-12-04,5.253619046926387
2018-12-05,5.648553328728834
2018-12-06,4.688817996880642
2018-12-07,4.829107473473375
2018-12-08,4.522509749453972
2018-12-09,4.26136993355934
2018-12-10,3.7973797962928457
2018-12-11,4.418505628602162
2018-12-12,5.161827242837377
2018-12-13,3.4427503216725692
2018-12-14,2.632999353577774
2018-12-15,2.4412544183247062
2018-12-16,2.7503427841346992
2018-12-17,0.9061127083126717
2018-12-18,0.0
2018-12-19,0.0
2018-12-20,0.7580875997597832
2018-12-21,0.0
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,0.0
2019-01-06,1.5036514208625322
2019-01-07,0.778472761119554
2019-01-08,0.727939869328722
2019-01-09,1.0363131418058718
2019-01-10,0.5208488818050332
2019-01-11,0.3777696549579922
2019-01-12,0.15047128417154765
2019-01-13,0.0
2019-01-14,2.255553665290253
2019-01-15,2.362726285870388
2019-01-16,4.020415782370793
2019-01-17,3.385060892580573
2019-01-18,3.8905266495373843
2019-01-19,3.5042215404435493
2019-01-20,4.095333474725903
2019-01-21,6.017595799693424
2019-01-22,8.229029797691817
2019-01-23,9.335736413420861
2019-01-24,10.104048290273996
2019-01-25,10.439763930760712
2019-01-26,11.17050564303665
2019-01-27,12.890470722914934
2019-01-28,11.656431003734477
2019-01-29,11.741160006990235
2019-01-30,11.179622046785662
2019-01-31,12.58989888815514
2019-02-01,11.789777615924823
2019-02-02,13.057722295011098
2019-02-03,12.369131225833058
2019-02-04,11.769020387698054
2019-02-05,13.730160823584171
2019-02-06,15.227329719674273
2019-02-07,14.840834708361012
2019-02-08,13.634614206715561
2019-02-09,13.226752362311677
2019-02-10,14.34407958349066
2019-02-11,14.860069352441617
2019-02-12,14.485321684413691
2019-02-13,15.584037892255278
2019-02-14,17.518625160542364
2019-02-15,16.989763640173354
2019-02-16,17.506430134893364
2019-02-17,17.318359145879917
2019-02-18,19.016313178258372
2019-02-19,19.753211280199995
2019-02-20,19.74223328212093
2019-02-21,18.75516686477772
2019-02-22,20.09583960789881
2019-02-23,20.47599159951751
2019-02-24,21.28005987614456
2019-02-25,21.777274700027974
2019-02-26,22.863907408821984
2019-02-27,21.841756111466573
2019-02-28,21.735477097230316
2019-03-01,22.7779326604595
2019-03-02,25.287368400515213
2019-03-03,26.326638158399447
2019-03-04,26.985449407707467
2019-03-05,27.091022790887397
2019-03-06,27.173124723726783
2019-03-07,27.707389334320446
2019-03-08,27.682289051362556
2019-03-09,28.56928104659674
2019-03-10,29.350485616721272
2019-03-11,32.09877246106526
2019-03-12,32.78971258939891
2019-03-13,34.67396337680837
2019-03-14,35.05041782790345
2019-03-15,36.79393750162545
2019-03-16,40.01626907026852
2019-03-17,40.264196581590035
2019-03-18,39.93958812209722
2019-03-19,41.8202405715923
2019-03-20,42.708938012012204
2019-03-21,43.28889209742636
2019-03-22,44.5716159911421
2019-03-23,45.70451890649398
2019-03-24,47.780660403753124
2019-03-25,49.04711010444864
2019-03-26,49.33736387323201
2019-03-27,49.0967606421983
