,0
2017-10-15,11.222379201051215
2017-10-16,10.428378807461812
2017-10-17,10.087084835692014
2017-10-18,8.253488169769232
2017-10-19,8.113196239471517
2017-10-20,6.865040184037477
2017-10-21,4.45488173425644
2017-10-22,2.9861032313934945
2017-10-23,2.768350977773605
2017-10-24,2.2892513220073507
2017-10-25,0.3356347039919223
2017-10-26,0.15360454002751345
2017-10-27,-0.729413283684226
2017-10-28,-1.093475670074858
2017-10-29,-1.5442357778229496
2017-10-30,-2.8440482036340917
2017-10-31,-2.8440482036340917
2017-11-01,-2.8440482036340917
2017-11-02,-2.8440482036340917
2017-11-03,-2.8440482036340917
2017-11-04,-2.8440482036340917
2017-11-05,-2.8440482036340917
2017-11-06,-2.8440482036340917
2017-11-07,-2.8440482036340917
2017-11-08,-2.8440482036340917
2017-11-09,-2.8440482036340917
2017-11-10,-2.8440482036340917
2017-11-11,-2.8440482036340917
2017-11-12,-2.8440482036340917
2017-11-13,-2.8440482036340917
2017-11-14,-2.8440482036340917
2017-11-15,-2.8440482036340917
2017-11-16,-2.8440482036340917
2017-11-17,-2.8440482036340917
2017-11-18,-2.8440482036340917
2017-11-19,-2.8440482036340917
2017-11-20,-2.8440482036340917
2017-11-21,-2.8440482036340917
2017-11-22,-2.8440482036340917
2017-11-23,-2.8440482036340917
2017-11-24,-2.8440482036340917
2017-11-25,-2.8440482036340917
2017-11-26,-2.8440482036340917
2017-11-27,-2.8440482036340917
2017-11-28,-2.8440482036340917
2017-11-29,-2.8440482036340917
2017-11-30,-2.8440482036340917
2017-12-01,-2.8440482036340917
2017-12-02,-2.8440482036340917
2017-12-03,-2.8440482036340917
2017-12-04,-2.8440482036340917
2017-12-05,-2.8440482036340917
2017-12-06,-2.8440482036340917
2017-12-07,-2.8440482036340917
2017-12-08,-2.8440482036340917
2017-12-09,-2.8440482036340917
2017-12-10,-2.8440482036340917
2017-12-11,-2.8440482036340917
2017-12-12,-2.8440482036340917
2017-12-13,-2.8440482036340917
2017-12-14,-2.8440482036340917
2017-12-15,-2.8440482036340917
2017-12-16,-2.8440482036340917
2017-12-17,-2.8440482036340917
2017-12-18,-2.8440482036340917
2017-12-19,-2.8440482036340917
2017-12-20,-2.8440482036340917
2017-12-21,-2.8440482036340917
2017-12-22,-2.8440482036340917
2017-12-23,-2.8440482036340917
2017-12-24,-2.8440482036340917
2017-12-25,-2.8440482036340917
2017-12-26,-2.8440482036340917
2017-12-27,-2.8440482036340917
